Date,Open,High,Low,Close,Adj Close,Volume
2015-08-13,711.799988,730.000000,710.500000,725.500000,710.975220,2079678
2015-08-03,713.799988,716.950012,705.000000,712.299988,696.087708,916688
2015-08-04,717.950012,717.950012,703.099976,709.650024,693.497986,1237267
2015-08-05,710.950012,721.900024,709.000000,718.599976,702.244202,1274983
2015-08-06,720.250000,731.099976,718.049988,723.400024,706.935059,1374485
2015-08-07,724.700012,728.849976,713.500000,715.150024,698.872803,980254
2015-08-10,717.400024,723.500000,710.750000,715.250000,698.970642,914543
2015-08-11,719.000000,729.000000,713.950012,719.200012,704.801392,1636795
2015-08-12,718.450012,724.299988,696.750000,707.650024,693.482727,2149755
2015-08-13,718.450012,724.299988,696.750000
2015-08-14,735.000000,741.750000,730.250000,739.599976,724.793030,3238561